Time,CAN2_CPC_C12_HiResAccelPdlPosn_Cval_t7
136.786516702,0.0
136.796503401,0.0
136.806608586,0.0
136.816517112,0.0
136.826507405,0.0
136.836508918,0.0
136.846506728,0.0
136.856513226,0.0
136.866496037,0.0
136.876498644,0.0
136.886495549,0.0
136.896494062,0.0
136.906495264,0.0
136.916502872,0.0
136.926500573,0.0
136.93649279,0.0
136.946495491,0.0
136.956496505,0.0
136.966491003,0.0
136.976499204,0.0
136.986493515,0.0
136.996494716,0.0
137.00649373,0.0
137.016491932,0.0
137.026499039,0.0
137.03649924,0.0
137.046505254,0.0
137.056496158,0.0
137.066491766,0.0
137.076503265,0.0
137.086498278,0.0
137.096495979,0.0
137.106496493,0.0
137.116493194,0.0
137.126495506,0.0
137.13651691,0.0
137.146506611,0.0
137.156495531,0.0
137.166491935,0.0
137.176515137,0.0
137.186495838,0.0
137.196495555,0.0
137.206495053,0.0
137.216516161,0.0
137.226498175,0.0
137.236494579,0.0
137.246509577,0.0
137.256493794,0.0
137.266494386,0.0
137.27649479,0.0
137.286494914,0.0
137.296494506,0.0
137.306507113,0.0
137.316503627,0.0
137.326501532,0.0
137.336517343,0.0
137.346511153,0.0
137.356497354,0.0
137.366495962,0.0
137.376517367,0.0
137.386496568,0.0
137.396493378,0.0
137.406496376,0.0
137.416516985,0.0
137.426499794,0.0
137.436496105,0.0
137.446504416,0.0
137.456495321,0.0
137.466494115,0.0
137.476495035,0.0
137.486494627,0.0
137.496493438,0.0
137.506496452,0.0
137.516494653,0.0
137.526500151,0.0
137.536493759,0.0
137.546506976,0.0
137.556496271,0.0
137.566495988,0.0
137.576492392,0.0
137.586495203,0.0
137.596495607,0.0
137.6064942,0.0
137.616493917,0.0
137.626497915,0.0
137.636495928,0.0
137.646506037,0.0
137.656493737,0.0
137.666494845,0.0
137.676495749,0.0
137.686493966,0.0
137.696492558,0.0
137.706495665,0.0
137.71649718,0.0
137.726501084,0.0
137.736493582,0.0
137.746509596,0.0
137.756495906,0.0
137.766500015,0.0
137.776495216,0.0
137.786517511,0.0
137.796503134,0.0
137.806644042,0.0
137.816517443,0.0
137.82651405,0.0
137.836499751,0.0
137.846508059,0.0
137.856514664,0.0
137.86649716,0.0
